"Código Cliente","Nome Cliente","Email Cliente","Operação","Stiker","Preco","Data","Dia","Mês","Ano"
"80","Beatriz Almeida","beatriz.almeida66@exemplo.com","Venda","B3SA3","R$ 10.12","06/01/2023","13/02/1900","32","4932"
"79","Larissa Carvalho","larissa.carvalho96@exemplo.com","Compra","VALE3","R$ 70.26","06/01/2023","13/02/1900","32","4932"
"59","Ana Oliveira","ana.oliveira96@exemplo.com","Venda","VALE3","R$ 74.48","06/01/2023","13/02/1900","32","4932"
"61","Alice Machado","alice.machado47@exemplo.com","Compra","BBAS3","R$ 47.36","06/01/2023","13/02/1900","32","4932"
"8","Laura Lima","laura.lima68@exemplo.com","Compra","TAEE4","R$ 11.26","06/01/2023","13/02/1900","32","4932"
"86","Guilherme Oliveira","guilherme.oliveira36@exemplo.com","Compra","BBDC4","R$ 15.13","07/01/2023","13/02/1900","33","4933"
"95","Camila Lima","camila.lima44@exemplo.com","Venda","VIVT3","R$ 54.70","07/01/2023","13/02/1900","33","4933"
"78","Gabriela Mendes","gabriela.mendes90@exemplo.com","Compra","WEGE3","R$ 36.17","08/01/2023","13/02/1900","34","4934"
"91","Rodrigo Melo","rodrigo.melo22@exemplo.com","Venda","BHIA3","R$ 10.29","08/01/2023","13/02/1900","34","4934"
"7","Marcos Rocha","marcos.rocha41@exemplo.com","Venda","WEGE3","R$ 37.63","08/01/2023","13/02/1900","34","4934"
"38","Luiza Souza","luiza.souza53@exemplo.com","Venda","VALE3","R$ 72.42","08/01/2023","13/02/1900","34","4934"
"4","Rodrigo Pereira","rodrigo.pereira12@exemplo.com","Compra","VALE3","R$ 78.26","08/01/2023","13/02/1900","34","4934"
"47","Leonardo Ribeiro","leonardo.ribeiro64@exemplo.com","Venda","JBSS3","R$ 21.55","08/01/2023","13/02/1900","34","4934"
"48","Sofia Melo","sofia.melo78@exemplo.com","Venda","MGLU3","R$ 3.17","08/01/2023","13/02/1900","34","4934"
"81","Clara Costa","clara.costa91@exemplo.com","Compra","IGTA3","R$ 10.33","09/01/2023","13/02/1900","35","4935"
"29","Gabriela Pereira","gabriela.pereira44@exemplo.com","Compra","BHIA3","R$ 12.09","09/01/2023","13/02/1900","35","4935"
"59","Ana Oliveira","ana.oliveira96@exemplo.com","Compra","RENT3","R$ 57.22","10/01/2023","13/02/1900","36","4936"
"60","Marcos Costa","marcos.costa57@exemplo.com","Venda","BHIA3","R$ 8.44","10/01/2023","13/02/1900","36","4936"
"43","Luis Rocha","luis.rocha1@exemplo.com","Venda","RENT3","R$ 46.44","10/01/2023","13/02/1900","36","4936"
"74","Larissa Gomes","larissa.gomes18@exemplo.com","Venda","JBSS3","R$ 18.97","10/01/2023","13/02/1900","36","4936"
"100","Lucas Cardoso","lucas.cardoso77@exemplo.com","Venda","BBAS3","R$ 43.30","10/01/2023","13/02/1900","36","4936"
"35","Isabella Silva","isabella.silva63@exemplo.com","Venda","TAEE4","R$ 10.63","11/01/2023","13/02/1900","37","4937"
"56","Julia Martins","julia.martins14@exemplo.com","Venda","MGLU3","R$ 1.55","11/01/2023","13/02/1900","37","4937"
"93","Leonardo Almeida","leonardo.almeida31@exemplo.com","Compra","WEGE3","R$ 41.79","11/01/2023","13/02/1900","37","4937"
"22","Luiza Costa","luiza.costa78@exemplo.com","Venda","IGTA3","R$ 10.17","11/01/2023","13/02/1900","37","4937"
"59","Ana Oliveira","ana.oliveira96@exemplo.com","Compra","WEGE3","R$ 41.96","11/01/2023","13/02/1900","37","4937"
"72","Bruno Melo","bruno.melo27@exemplo.com","Compra","RENT3","R$ 63.30","12/01/2023","13/02/1900","38","4938"
"89","Guilherme Silva","guilherme.silva74@exemplo.com","Venda","SANB11","R$ 28.67","12/01/2023","13/02/1900","38","4938"
"79","Larissa Carvalho","larissa.carvalho96@exemplo.com","Venda","PETR4","R$ 28.38","12/01/2023","13/02/1900","38","4938"
"4","Rodrigo Pereira","rodrigo.pereira12@exemplo.com","Compra","ITUB4","R$ 26.72","12/01/2023","13/02/1900","38","4938"
"13","Beatriz Silva","beatriz.silva61@exemplo.com","Venda","BBAS3","R$ 55.27","12/01/2023","13/02/1900","38","4938"
"74","Larissa Gomes","larissa.gomes18@exemplo.com","Venda","VALE3","R$ 76.14","12/01/2023","13/02/1900","38","4938"
"48","Sofia Melo","sofia.melo78@exemplo.com","Venda","TAEE4","R$ 12.52","12/01/2023","13/02/1900","38","4938"
"24","Rodrigo Lima","rodrigo.lima45@exemplo.com","Venda","ITUB4","R$ 27.39","12/01/2023","13/02/1900","38","4938"
"84","Gabriel Fonseca","gabriel.fonseca66@exemplo.com","Compra","WEGE3","R$ 33.05","12/01/2023","13/02/1900","38","4938"
"7","Marcos Rocha","marcos.rocha41@exemplo.com","Compra","PETR4","R$ 37.71","13/01/2023","13/02/1900","39","4939"
"60","Marcos Costa","marcos.costa57@exemplo.com","Venda","MGLU3","R$ 2.16","13/01/2023","13/02/1900","39","4939"
"46","Pedro Silva","pedro.silva50@exemplo.com","Compra","HAPV3","R$ 3.14","13/01/2023","13/02/1900","39","4939"
"93","Leonardo Almeida","leonardo.almeida31@exemplo.com","Venda","ITUB4","R$ 31.86","13/01/2023","13/02/1900","39","4939"
"69","Laura Lima","laura.lima25@exemplo.com","Compra","B3SA3","R$ 13.44","14/01/2023","13/02/1900","40","4940"
"32","Gabriel Oliveira","gabriel.oliveira13@exemplo.com","Venda","BBAS3","R$ 41.64","14/01/2023","13/02/1900","40","4940"
"84","Gabriel Fonseca","gabriel.fonseca66@exemplo.com","Compra","BBAS3","R$ 45.96","14/01/2023","13/02/1900","40","4940"
"10","Eduardo Pereira","eduardo.pereira13@exemplo.com","Compra","HAPV3","R$ 4.70","14/01/2023","13/02/1900","40","4940"
"71","Mateus Gomes","mateus.gomes40@exemplo.com","Venda","IGTA3","R$ 10.53","14/01/2023","13/02/1900","40","4940"
"70","Felipe Silva","felipe.silva52@exemplo.com","Venda","IGTA3","R$ 10.44","14/01/2023","13/02/1900","40","4940"
"50","Camila Rocha","camila.rocha10@exemplo.com","Venda","WEGE3","R$ 35.38","14/01/2023","13/02/1900","40","4940"
"29","Gabriela Pereira","gabriela.pereira44@exemplo.com","Compra","JBSS3","R$ 16.80","14/01/2023","13/02/1900","40","4940"
"46","Pedro Silva","pedro.silva50@exemplo.com","Compra","BHIA3","R$ 7.91","14/01/2023","13/02/1900","40","4940"
"25","Eduardo Silva","eduardo.silva54@exemplo.com","Venda","VALE3","R$ 60.34","15/01/2023","13/02/1900","41","4941"
"99","Pedro Lima","pedro.lima14@exemplo.com","Venda","CSAN3","R$ 15.57","15/01/2023","13/02/1900","41","4941"
"62","Gabriela Almeida","gabriela.almeida7@exemplo.com","Compra","LREN3","R$ 12.41","15/01/2023","13/02/1900","41","4941"
"66","Mateus Gomes","mateus.gomes98@exemplo.com","Compra","HAPV3","R$ 5.38","15/01/2023","13/02/1900","41","4941"
"64","Camila Souza","camila.souza82@exemplo.com","Venda","BHIA3","R$ 11.73","15/01/2023","13/02/1900","41","4941"
"83","Felipe Oliveira","felipe.oliveira37@exemplo.com","Venda","VALE3","R$ 71.10","16/01/2023","13/02/1900","42","4942"
"20","Felipe Santos","felipe.santos70@exemplo.com","Compra","VIVT3","R$ 51.47","16/01/2023","13/02/1900","42","4942"
"96","Beatriz Ribeiro","beatriz.ribeiro50@exemplo.com","Compra","PETR4","R$ 20.18","16/01/2023","13/02/1900","42","4942"
"62","Gabriela Almeida","gabriela.almeida7@exemplo.com","Compra","IGTA3","R$ 10.73","16/01/2023","13/02/1900","42","4942"
"58","Rafael Oliveira","rafael.oliveira88@exemplo.com","Venda","RENT3","R$ 49.31","16/01/2023","13/02/1900","42","4942"
"5","Bruno Rodrigues","bruno.rodrigues89@exemplo.com","Compra","CPFE3","R$ 31.14","17/01/2023","13/02/1900","43","4943"
"77","Larissa Gomes","larissa.gomes98@exemplo.com","Venda","MGLU3","R$ 2.62","17/01/2023","13/02/1900","43","4943"
"89","Guilherme Silva","guilherme.silva74@exemplo.com","Compra","VIVT3","R$ 39.30","17/01/2023","13/02/1900","43","4943"
"96","Beatriz Ribeiro","beatriz.ribeiro50@exemplo.com","Venda","SANB11","R$ 31.20","17/01/2023","13/02/1900","43","4943"
"42","Clara Pereira","clara.pereira30@exemplo.com","Venda","TAEE4","R$ 11.77","17/01/2023","13/02/1900","43","4943"
"20","Felipe Santos","felipe.santos70@exemplo.com","Venda","ITUB4","R$ 32.26","17/01/2023","13/02/1900","43","4943"
"14","Guilherme Ferreira","guilherme.ferreira50@exemplo.com","Compra","BBDC4","R$ 11.88","17/01/2023","13/02/1900","43","4943"
"27","Giovanna Carvalho","giovanna.carvalho88@exemplo.com","Venda","BHIA3","R$ 8.90","18/01/2023","13/02/1900","44","4944"
"50","Camila Rocha","camila.rocha10@exemplo.com","Venda","CSAN3","R$ 18.56","18/01/2023","13/02/1900","44","4944"
"93","Leonardo Almeida","leonardo.almeida31@exemplo.com","Compra","B3SA3","R$ 10.71","18/01/2023","13/02/1900","44","4944"
"16","Gabriel Machado","gabriel.machado40@exemplo.com","Compra","WEGE3","R$ 37.73","18/01/2023","13/02/1900","44","4944"
"42","Clara Pereira","clara.pereira30@exemplo.com","Venda","SANB11","R$ 30.20","18/01/2023","13/02/1900","44","4944"
"54","Gustavo Santos","gustavo.santos79@exemplo.com","Venda","MGLU3","R$ 3.26","19/01/2023","13/02/1900","45","4945"
"34","Lucas Ribeiro","lucas.ribeiro15@exemplo.com","Compra","VIVT3","R$ 53.44","19/01/2023","13/02/1900","45","4945"
"49","Rafael Rocha","rafael.rocha93@exemplo.com","Venda","MGLU3","R$ 3.84","19/01/2023","13/02/1900","45","4945"
"69","Laura Lima","laura.lima25@exemplo.com","Compra","TAEE4","R$ 11.52","20/01/2023","13/02/1900","46","4946"
"83","Felipe Oliveira","felipe.oliveira37@exemplo.com","Venda","IGTA3","R$ 10.60","20/01/2023","13/02/1900","46","4946"
"61","Alice Machado","alice.machado47@exemplo.com","Compra","VIVT3","R$ 44.79","20/01/2023","13/02/1900","46","4946"
"2","Isabella Ferreira","isabella.ferreira95@exemplo.com","Compra","B3SA3","R$ 11.45","20/01/2023","13/02/1900","46","4946"
"36","Clara Pereira","clara.pereira11@exemplo.com","Venda","BBDC4","R$ 14.58","20/01/2023","13/02/1900","46","4946"
"80","Beatriz Almeida","beatriz.almeida66@exemplo.com","Compra","RENT3","R$ 47.90","20/01/2023","13/02/1900","46","4946"
"3","Mateus Santos","mateus.santos41@exemplo.com","Venda","JBSS3","R$ 21.59","20/01/2023","13/02/1900","46","4946"
"52","Lucas Costa","lucas.costa80@exemplo.com","Venda","BBAS3","R$ 53.30","20/01/2023","13/02/1900","46","4946"
"16","Gabriel Machado","gabriel.machado40@exemplo.com","Compra","TAEE4","R$ 12.59","20/01/2023","13/02/1900","46","4946"
"62","Gabriela Almeida","gabriela.almeida7@exemplo.com","Venda","JBSS3","R$ 24.87","20/01/2023","13/02/1900","46","4946"
"6","Ana Santos","ana.santos99@exemplo.com","Venda","MGLU3","R$ 2.95","21/01/2023","13/02/1900","47","4947"
"95","Camila Lima","camila.lima44@exemplo.com","Compra","RENT3","R$ 47.17","21/01/2023","13/02/1900","47","4947"
"40","Gabriela Pereira","gabriela.pereira87@exemplo.com","Venda","BHIA3","R$ 7.56","21/01/2023","13/02/1900","47","4947"
"71","Mateus Gomes","mateus.gomes40@exemplo.com","Compra","BHIA3","R$ 19.36","22/01/2023","13/02/1900","48","4948"
"21","Camila Pereira","camila.pereira21@exemplo.com","Venda","ABEV3","R$ 12.21","22/01/2023","13/02/1900","48","4948"
"12","Giovanna Rocha","giovanna.rocha93@exemplo.com","Compra","TAEE4","R$ 11.74","22/01/2023","13/02/1900","48","4948"
"16","Gabriel Machado","gabriel.machado40@exemplo.com","Venda","VIVT3","R$ 55.75","22/01/2023","13/02/1900","48","4948"
"24","Rodrigo Lima","rodrigo.lima45@exemplo.com","Compra","LREN3","R$ 12.68","22/01/2023","13/02/1900","48","4948"
"57","Clara Pereira","clara.pereira12@exemplo.com","Venda","VALE3","R$ 75.00","22/01/2023","13/02/1900","48","4948"
"66","Mateus Gomes","mateus.gomes98@exemplo.com","Venda","BBAS3","R$ 41.30","23/01/2023","13/02/1900","49","4949"
"33","Gustavo Souza","gustavo.souza88@exemplo.com","Venda","ITUB4","R$ 21.42","23/01/2023","13/02/1900","49","4949"
"15","Felipe Ribeiro","felipe.ribeiro44@exemplo.com","Venda","WEGE3","R$ 32.06","23/01/2023","13/02/1900","49","4949"
"19","Sofia Melo","sofia.melo10@exemplo.com","Compra","CPFE3","R$ 35.35","23/01/2023","13/02/1900","49","4949"
"71","Mateus Gomes","mateus.gomes40@exemplo.com","Venda","SANB11","R$ 30.41","23/01/2023","13/02/1900","49","4949"
"91","Rodrigo Melo","rodrigo.melo22@exemplo.com","Compra","LREN3","R$ 15.02","23/01/2023","13/02/1900","49","4949"
"5","Bruno Rodrigues","bruno.rodrigues89@exemplo.com","Compra","B3SA3","R$ 13.27","23/01/2023","13/02/1900","49","4949"
"1","Leonardo Ferreira","leonardo.ferreira67@exemplo.com","Venda","RENT3","R$ 65.02","23/01/2023","13/02/1900","49","4949"
"93","Leonardo Almeida","leonardo.almeida31@exemplo.com","Compra","HAPV3","R$ 3.38","23/01/2023","13/02/1900","49","4949"
"98","Camila Souza","camila.souza43@exemplo.com","Venda","BBDC4","R$ 12.57","23/01/2023","13/02/1900","49","4949"
"92","Rodrigo Melo","rodrigo.melo72@exemplo.com","Venda","PETR4","R$ 42.85","24/01/2023","13/02/1900","50","4950"
"38","Luiza Souza","luiza.souza53@exemplo.com","Compra","CSAN3","R$ 16.56","24/01/2023","13/02/1900","50","4950"
"96","Beatriz Ribeiro","beatriz.ribeiro50@exemplo.com","Venda","ABEV3","R$ 13.48","24/01/2023","13/02/1900","50","4950"
"1","Leonardo Ferreira","leonardo.ferreira67@exemplo.com","Venda","VIVT3","R$ 37.56","24/01/2023","13/02/1900","50","4950"
"69","Laura Lima","laura.lima25@exemplo.com","Venda","HAPV3","R$ 2.31","24/01/2023","13/02/1900","50","4950"
"43","Luis Rocha","luis.rocha1@exemplo.com","Compra","HAPV3","R$ 2.42","24/01/2023","13/02/1900","50","4950"
"14","Guilherme Ferreira","guilherme.ferreira50@exemplo.com","Compra","ABEV3","R$ 12.49","25/01/2023","13/02/1900","51","4951"
"43","Luis Rocha","luis.rocha1@exemplo.com","Venda","LREN3","R$ 14.98","25/01/2023","13/02/1900","51","4951"
"85","Julia Santos","julia.santos76@exemplo.com","Compra","PETR4","R$ 32.06","26/01/2023","13/02/1900","52","4952"
"62","Gabriela Almeida","gabriela.almeida7@exemplo.com","Venda","PETR4","R$ 28.17","26/01/2023","13/02/1900","52","4952"
"33","Gustavo Souza","gustavo.souza88@exemplo.com","Compra","WEGE3","R$ 38.20","26/01/2023","13/02/1900","52","4952"
"27","Giovanna Carvalho","giovanna.carvalho88@exemplo.com","Compra","VALE3","R$ 73.99","26/01/2023","13/02/1900","52","4952"
"25","Eduardo Silva","eduardo.silva54@exemplo.com","Venda","VALE3","R$ 61.10","27/01/2023","13/02/1900","53","4953"
"17","Gabriela Costa","gabriela.costa15@exemplo.com","Compra","ABEV3","R$ 14.14","27/01/2023","13/02/1900","53","4953"
"98","Camila Souza","camila.souza43@exemplo.com","Compra","CPFE3","R$ 27.74","27/01/2023","13/02/1900","53","4953"
"39","Amanda Rocha","amanda.rocha53@exemplo.com","Compra","BHIA3","R$ 19.57","27/01/2023","13/02/1900","53","4953"
"25","Eduardo Silva","eduardo.silva54@exemplo.com","Venda","ITUB4","R$ 33.66","27/01/2023","13/02/1900","53","4953"
"55","Amanda Santos","amanda.santos76@exemplo.com","Venda","RENT3","R$ 69.30","27/01/2023","13/02/1900","53","4953"
"67","Guilherme Fonseca","guilherme.fonseca27@exemplo.com","Venda","B3SA3","R$ 12.93","27/01/2023","13/02/1900","53","4953"
"68","Sofia Melo","sofia.melo31@exemplo.com","Venda","HAPV3","R$ 2.32","27/01/2023","13/02/1900","53","4953"
"14","Guilherme Ferreira","guilherme.ferreira50@exemplo.com","Compra","SANB11","R$ 28.05","27/01/2023","13/02/1900","53","4953"
"59","Ana Oliveira","ana.oliveira96@exemplo.com","Venda","CPFE3","R$ 35.57","28/01/2023","13/02/1900","54","4954"
"50","Camila Rocha","camila.rocha10@exemplo.com","Venda","MGLU3","R$ 3.28","28/01/2023","13/02/1900","54","4954"
"33","Gustavo Souza","gustavo.souza88@exemplo.com","Venda","CSAN3","R$ 18.66","28/01/2023","13/02/1900","54","4954"
"100","Lucas Cardoso","lucas.cardoso77@exemplo.com","Venda","IGTA3","R$ 10.78","28/01/2023","13/02/1900","54","4954"
"88","Gabriela Costa","gabriela.costa24@exemplo.com","Compra","PETR4","R$ 31.59","28/01/2023","13/02/1900","54","4954"
"4","Rodrigo Pereira","rodrigo.pereira12@exemplo.com","Compra","BHIA3","R$ 6.78","01/02/2023","13/02/1900","58","4958"
"85","Julia Santos","julia.santos76@exemplo.com","Venda","LREN3","R$ 13.32","01/02/2023","13/02/1900","58","4958"
"28","Rafael Cardoso","rafael.cardoso85@exemplo.com","Compra","LREN3","R$ 20.65","01/02/2023","13/02/1900","58","4958"
"55","Amanda Santos","amanda.santos76@exemplo.com","Venda","ABEV3","R$ 12.75","02/02/2023","13/02/1900","59","4959"
"2","Isabella Ferreira","isabella.ferreira95@exemplo.com","Compra","IGTA3","R$ 10.57","02/02/2023","13/02/1900","59","4959"
"67","Guilherme Fonseca","guilherme.fonseca27@exemplo.com","Compra","VALE3","R$ 79.64","02/02/2023","13/02/1900","59","4959"
"9","Giovanna Gomes","giovanna.gomes22@exemplo.com","Venda","MGLU3","R$ 3.28","02/02/2023","13/02/1900","59","4959"
"34","Lucas Ribeiro","lucas.ribeiro15@exemplo.com","Venda","JBSS3","R$ 22.90","02/02/2023","13/02/1900","59","4959"
"38","Luiza Souza","luiza.souza53@exemplo.com","Compra","SANB11","R$ 30.98","02/02/2023","13/02/1900","59","4959"
"95","Camila Lima","camila.lima44@exemplo.com","Compra","WEGE3","R$ 35.02","02/02/2023","13/02/1900","59","4959"
"20","Felipe Santos","felipe.santos70@exemplo.com","Compra","SANB11","R$ 31.30","02/02/2023","13/02/1900","59","4959"
"21","Camila Pereira","camila.pereira21@exemplo.com","Venda","MGLU3","R$ 3.79","03/02/2023","13/02/1900","60","4960"
"15","Felipe Ribeiro","felipe.ribeiro44@exemplo.com","Compra","JBSS3","R$ 21.24","03/02/2023","13/02/1900","60","4960"
"65","Marcos Souza","marcos.souza65@exemplo.com","Venda","VALE3","R$ 77.01","03/02/2023","13/02/1900","60","4960"
"54","Gustavo Santos","gustavo.santos79@exemplo.com","Venda","TAEE4","R$ 10.74","03/02/2023","13/02/1900","60","4960"
"36","Clara Pereira","clara.pereira11@exemplo.com","Venda","CSAN3","R$ 14.90","03/02/2023","13/02/1900","60","4960"
"60","Marcos Costa","marcos.costa57@exemplo.com","Compra","ITUB4","R$ 21.83","03/02/2023","13/02/1900","60","4960"
"21","Camila Pereira","camila.pereira21@exemplo.com","Venda","LREN3","R$ 15.11","03/02/2023","13/02/1900","60","4960"
"26","Gabriela Melo","gabriela.melo17@exemplo.com","Venda","RENT3","R$ 60.68","03/02/2023","13/02/1900","60","4960"
"33","Gustavo Souza","gustavo.souza88@exemplo.com","Compra","ITUB4","R$ 30.32","03/02/2023","13/02/1900","60","4960"
"85","Julia Santos","julia.santos76@exemplo.com","Compra","SANB11","R$ 31.68","04/02/2023","13/02/1900","61","4961"
"96","Beatriz Ribeiro","beatriz.ribeiro50@exemplo.com","Compra","RENT3","R$ 60.44","04/02/2023","13/02/1900","61","4961"
"76","Ana Carvalho","ana.carvalho5@exemplo.com","Venda","MGLU3","R$ 4.24","04/02/2023","13/02/1900","61","4961"
"100","Lucas Cardoso","lucas.cardoso77@exemplo.com","Venda","JBSS3","R$ 20.50","04/02/2023","13/02/1900","61","4961"
"86","Guilherme Oliveira","guilherme.oliveira36@exemplo.com","Compra","PETR4","R$ 18.14","05/02/2023","13/02/1900","62","4962"
"3","Mateus Santos","mateus.santos41@exemplo.com","Venda","WEGE3","R$ 38.03","05/02/2023","13/02/1900","62","4962"
"40","Gabriela Pereira","gabriela.pereira87@exemplo.com","Venda","SANB11","R$ 28.13","05/02/2023","13/02/1900","62","4962"
"100","Lucas Cardoso","lucas.cardoso77@exemplo.com","Venda","HAPV3","R$ 4.75","05/02/2023","13/02/1900","62","4962"
"66","Mateus Gomes","mateus.gomes98@exemplo.com","Compra","MGLU3","R$ 1.91","05/02/2023","13/02/1900","62","4962"
"5","Bruno Rodrigues","bruno.rodrigues89@exemplo.com","Compra","HAPV3","R$ 4.11","05/02/2023","13/02/1900","62","4962"
"79","Larissa Carvalho","larissa.carvalho96@exemplo.com","Compra","RENT3","R$ 56.81","06/02/2023","13/02/1900","63","4963"
"43","Luis Rocha","luis.rocha1@exemplo.com","Compra","WEGE3","R$ 40.52","06/02/2023","13/02/1900","63","4963"
"4","Rodrigo Pereira","rodrigo.pereira12@exemplo.com","Compra","RENT3","R$ 61.74","06/02/2023","13/02/1900","63","4963"
"32","Gabriel Oliveira","gabriel.oliveira13@exemplo.com","Venda","CSAN3","R$ 17.65","06/02/2023","13/02/1900","63","4963"
"88","Gabriela Costa","gabriela.costa24@exemplo.com","Venda","ABEV3","R$ 13.56","06/02/2023","13/02/1900","63","4963"
"83","Felipe Oliveira","felipe.oliveira37@exemplo.com","Compra","BBAS3","R$ 45.32","06/02/2023","13/02/1900","63","4963"
"39","Amanda Rocha","amanda.rocha53@exemplo.com","Compra","HAPV3","R$ 5.35","06/02/2023","13/02/1900","63","4963"
"44","Leonardo Souza","leonardo.souza93@exemplo.com","Compra","PETR4","R$ 20.72","06/02/2023","13/02/1900","63","4963"
"34","Lucas Ribeiro","lucas.ribeiro15@exemplo.com","Venda","IGTA3","R$ 10.25","07/02/2023","13/02/1900","64","4964"
"25","Eduardo Silva","eduardo.silva54@exemplo.com","Compra","BBDC4","R$ 16.20","07/02/2023","13/02/1900","64","4964"
"80","Beatriz Almeida","beatriz.almeida66@exemplo.com","Venda","B3SA3","R$ 11.89","07/02/2023","13/02/1900","64","4964"
"56","Julia Martins","julia.martins14@exemplo.com","Venda","JBSS3","R$ 19.70","07/02/2023","13/02/1900","64","4964"
"54","Gustavo Santos","gustavo.santos79@exemplo.com","Compra","BBAS3","R$ 56.57","08/02/2023","13/02/1900","65","4965"
"68","Sofia Melo","sofia.melo31@exemplo.com","Venda","HAPV3","R$ 3.67","08/02/2023","13/02/1900","65","4965"
"76","Ana Carvalho","ana.carvalho5@exemplo.com","Venda","CPFE3","R$ 36.28","08/02/2023","13/02/1900","65","4965"
"15","Felipe Ribeiro","felipe.ribeiro44@exemplo.com","Venda","CSAN3","R$ 16.54","09/02/2023","13/02/1900","66","4966"
"48","Sofia Melo","sofia.melo78@exemplo.com","Compra","RENT3","R$ 57.91","09/02/2023","13/02/1900","66","4966"
"70","Felipe Silva","felipe.silva52@exemplo.com","Compra","MGLU3","R$ 3.49","09/02/2023","13/02/1900","66","4966"
"41","Ana Ferreira","ana.ferreira30@exemplo.com","Compra","HAPV3","R$ 4.02","09/02/2023","13/02/1900","66","4966"
"74","Larissa Gomes","larissa.gomes18@exemplo.com","Venda","LREN3","R$ 18.80","10/02/2023","13/02/1900","67","4967"
"46","Pedro Silva","pedro.silva50@exemplo.com","Venda","ITUB4","R$ 26.05","10/02/2023","13/02/1900","67","4967"
"67","Guilherme Fonseca","guilherme.fonseca27@exemplo.com","Venda","VIVT3","R$ 45.26","10/02/2023","13/02/1900","67","4967"
"40","Gabriela Pereira","gabriela.pereira87@exemplo.com","Venda","PETR4","R$ 41.50","10/02/2023","13/02/1900","67","4967"
"6","Ana Santos","ana.santos99@exemplo.com","Venda","JBSS3","R$ 18.82","10/02/2023","13/02/1900","67","4967"
"46","Pedro Silva","pedro.silva50@exemplo.com","Compra","TAEE4","R$ 11.69","10/02/2023","13/02/1900","67","4967"
"47","Leonardo Ribeiro","leonardo.ribeiro64@exemplo.com","Compra","IGTA3","R$ 10.50","10/02/2023","13/02/1900","67","4967"
"30","Larissa Gomes","larissa.gomes94@exemplo.com","Compra","LREN3","R$ 11.66","10/02/2023","13/02/1900","67","4967"
"90","Eduardo Fonseca","eduardo.fonseca58@exemplo.com","Venda","RENT3","R$ 57.47","10/02/2023","13/02/1900","67","4967"
